book_name,is_positive,positive_probs,negative_probs
Python工匠,1,0.7297517657279968,0.27024826407432556
Python工匠,1,0.8334460854530334,0.16655398905277252
Python工匠,1,0.8171138763427734,0.18288615345954895
Python工匠,1,0.8854517936706543,0.11454827338457108
Python工匠,1,0.8875662684440613,0.11243373155593872
Python工匠,1,0.6262373924255371,0.3737625479698181
Python工匠,1,0.8054507970809937,0.19454920291900635
Python工匠,1,0.78568434715271,0.21431568264961243
Python工匠,1,0.5639902949333191,0.4360097348690033
Python工匠,1,0.9071834087371826,0.09281662851572037
Python工匠,1,0.8566282391548157,0.1433718204498291
Python工匠,1,0.8741380572319031,0.1258620172739029
Python工匠,1,0.8238056898117065,0.17619432508945465
Python工匠,1,0.7948507070541382,0.2051493376493454
Python工匠,1,0.5188437700271606,0.48115620017051697
Python工匠,1,0.8753820657730103,0.12461794912815094
